missing	get	/task/bulk_time_in_status/task_ids	Tasks	Get Bulk Tasks' Time in Status	GetBulkTasks'TimeinStatus	v2
implemented	get	/task/{}	Tasks	Get Task	GetTask	v2
implemented	get	/task/{}/comment	Comments	Get Task Comments	GetTaskComments	v2
missing	get	/task/{}/member	Members	Get Task Members	GetTaskMembers	v2
missing	get	/task/{}/time	Time Tracking (Legacy)	Get tracked time	Gettrackedtime	v2
missing	get	/task/{}/time_in_status	Tasks	Get Task's Time in Status	GetTask'sTimeinStatus	v2
missing	get	/team	Workspaces	Get Authorized Workspaces	GetAuthorizedTeams	v2
missing	get	/team/{}/custom_item	Custom Task Types	Get Custom Task Types	GetCustomItems	v2
missing	get	/team/{}/customroles	Roles	Get Custom Roles	GetCustomRoles	v2
missing	get	/team/{}/field	Custom Fields	Get Workspace Custom Fields	getTeamAvailableFields	v2
missing	get	/team/{}/goal	Goals	Get Goals	GetGoals	v2
missing	get	/team/{}/guest/{}	Guests	Get Guest	GetGuest	v2
missing	get	/team/{}/plan	Workspaces	Get Workspace Plan	GetWorkspaceplan	v2
missing	get	/team/{}/seats	Workspaces	Get Workspace seats	GetWorkspaceseats	v2
missing	get	/team/{}/shared	Shared Hierarchy	Shared Hierarchy	SharedHierarchy	v2
implemented	get	/team/{}/space	Spaces	Get Spaces	GetSpaces	v2
missing	get	/team/{}/task	Tasks	Get Filtered Team Tasks	GetFilteredTeamTasks	v2
missing	get	/team/{}/taskTemplate	Templates	Get Task Templates	GetTaskTemplates	v2
implemented	get	/team/{}/time_entries	Time Tracking	Get time entries within a date range	Gettimeentrieswithinadaterange	v2
missing	get	/team/{}/time_entries/current	Time Tracking	Get running time entry	Getrunningtimeentry	v2
missing	get	/team/{}/time_entries/tags	Time Tracking	Get all tags from time entries	Getalltagsfromtimeentries	v2
missing	get	/team/{}/time_entries/{}	Time Tracking	Get singular time entry	Getsingulartimeentry	v2
missing	get	/team/{}/time_entries/{}/history	Time Tracking	Get time entry history	Gettimeentryhistory	v2
missing	get	/team/{}/user/{}	Users	Get User	GetUser	v2
missing	get	/team/{}/view	Views	Get Workspace (Everything level) Views	GetTeamViews	v2
missing	get	/team/{}/webhook	Webhooks	Get Webhooks	GetWebhooks	v2
missing	get	/user	Authorization	Get Authorized User	GetAuthorizedUser	v2
missing	get	/view/{}	Views	Get View	GetView	v2
missing	get	/view/{}/comment	Comments	Get Chat View Comments	GetChatViewComments	v2
missing	get	/view/{}/task	Views	Get View Tasks	GetViewTasks	v2
missing	patch	/api/v3/workspaces/{}/chat/channels/{}	Chat	Update a Channel	updateChatChannel	v3
missing	patch	/api/v3/workspaces/{}/chat/messages/{}	Chat	Update a message	patchChatMessage	v3
missing	patch	/api/v3/workspaces/{}/{}/{}/acls	Acls	Update privacy and access of an object or location	publicPatchAcl	v3
missing	post	/api/v3/workspaces/{}/auditlogs	Auditlogs	Create Workspace-level audit logs	queryAuditLog	v3
missing	post	/api/v3/workspaces/{}/chat/channels	Chat	Create a Channel	createChatChannel	v3
missing	post	/api/v3/workspaces/{}/chat/channels/direct_message	Chat	Create a Direct Message	createDirectMessageChatChannel	v3
missing	post	/api/v3/workspaces/{}/chat/channels/location	Chat	Create a Channel on a Space, Folder, or List	createLocationChatChannel	v3
missing	post	/api/v3/workspaces/{}/chat/channels/{}/messages	Chat	Send a message	createChatMessage	v3
missing	post	/api/v3/workspaces/{}/chat/messages/{}/reactions	Chat	Create a message reaction	createChatReaction	v3
missing	post	/api/v3/workspaces/{}/chat/messages/{}/replies	Chat	Create a reply message	createReplyMessage	v3
missing	post	/api/v3/workspaces/{}/docs	Docs	Create a Doc	createDocPublic	v3
missing	post	/api/v3/workspaces/{}/docs/{}/pages	Docs	Create a Page	createPagePublic	v3
missing	post	/api/v3/workspaces/{}/{}/{}/attachments	Attachments	Create an Attachment	postEntityAttachment	v3
missing	post	/checklist/{}/checklist_item	Task Checklists	Create Checklist Item	CreateChecklistItem	v2
missing	post	/comment/{}/reply	Comments	Create Threaded Comment	CreateThreadedComment	v2
missing	post	/folder/{}/guest/{}	Guests	Add Guest To Folder	AddGuestToFolder	v2
missing	post	/folder/{}/list	Lists	Create List	CreateList	v2
missing	post	/folder/{}/list_template/{}	Lists	Create List From Template in Folder	CreateFolderListFromTemplate	v2
missing	post	/folder/{}/view	Views	Create Folder View	CreateFolderView	v2
missing	post	/goal/{}/key_result	Goals	Create Key Result	CreateKeyResult	v2
missing	post	/list/{}/comment	Comments	Create List Comment	CreateListComment	v2
missing	post	/list/{}/guest/{}	Guests	Add Guest To List	AddGuestToList	v2
implemented	post	/list/{}/task	Tasks	Create Task	CreateTask	v2
missing	post	/list/{}/task/{}	Lists	Add Task To List	AddTaskToList	v2
missing	post	/list/{}/taskTemplate/{}	Tasks	Create Task From Template	CreateTaskFromTemplate	v2
missing	post	/list/{}/view	Views	Create List View	CreateListView	v2
missing	post	/oauth/token	Authorization	Get Access Token	GetAccessToken	v2
missing	post	/space/{}/folder	Folders	Create Folder	CreateFolder	v2
missing	post	/space/{}/folder_template/{}	Folders	Create Folder from template	CreateFolderFromTemplate	v2
missing	post	/space/{}/list	Lists	Create Folderless List	CreateFolderlessList	v2
missing	post	/space/{}/list_template/{}	Lists	Create List From Template in Space.	CreateSpaceListFromTemplate	v2
missing	post	/space/{}/tag	Tags	Create Space Tag	CreateSpaceTag	v2
missing	post	/space/{}/view	Views	Create Space View	CreateSpaceView	v2
missing	post	/task/{}/attachment	Attachments	Create Task Attachment	CreateTaskAttachment	v2
missing	post	/task/{}/checklist	Task Checklists	Create Checklist	CreateChecklist	v2
implemented	post	/task/{}/comment	Comments	Create Task Comment	CreateTaskComment	v2
missing	post	/task/{}/dependency	Task Relationships	Add Dependency	AddDependency	v2
missing	post	/task/{}/field/{}	Custom Fields	Set Custom Field Value	SetCustomFieldValue	v2
missing	post	/task/{}/guest/{}	Guests	Add Guest To Task	AddGuestToTask	v2
missing	post	/task/{}/link/{}	Task Relationships	Add Task Link	AddTaskLink	v2
missing	post	/task/{}/merge	Tasks	Merge Tasks	mergeTasks	v2
missing	post	/task/{}/tag/{}	Tags	Add Tag To Task	AddTagToTask	v2
missing	post	/task/{}/time	Time Tracking (Legacy)	Track time	Tracktime	v2
